"group","location","site_id","x_centre_4326","y_centre_4326","xmin_4326","ymin_4326","xmax_4326","ymax_4326","xmin_3577","ymin_3577","xmax_3577","ymax_3577","image_id","image_date","image_count","QC_notes"
"NSW Boorowa to Yass","NE of Bowning",9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,"20200906",2020-09-06,2,"some cloud"
"NSW Boorowa to Yass","NE of Bowning",9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,"20181119",2018-11-19,1,NA
"NSW Boorowa to Yass","NE of Bowning",9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,"20171030",2017-10-30,1,NA
"NSW Boorowa to Yass","NE of Bowning",9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,"20161008",2016-10-08,2,NA
"NSW Boorowa to Yass","NE of Bowning",9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,"20140820",2014-08-20,1,NA
"NSW Boorowa to Yass","NE of Bowning",9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,"20131030",2013-10-30,1,NA
"NSW Boorowa to Yass","NE of Bowning",9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,"20230309",2023-03-09,1,NA
"NSW Boorowa to Yass","NE of Bowning",9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,"20210306",2021-03-06,1,"some cloud"
"NSW Boorowa to Yass","NE of Bowning",9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,"20200810",2020-08-10,1,"some cloud"
"NSW Boorowa to Yass","NE of Bowning",9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,"20181118",2018-11-18,1,NA
"NSW Boorowa to Yass","NE of Bowning",9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,"20210208",2021-02-08,1,"some cloud"
"NSW Boorowa to Yass","NE of Bowning",9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,"20180929",2018-09-29,1,NA
"NSW Boorowa to Yass","Boorowa Rd joins Hume",10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,"20230310",2023-03-10,1,NA
"NSW Boorowa to Yass","Boorowa Rd joins Hume",10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,"20210401",2021-04-01,1,NA
"NSW Boorowa to Yass","Boorowa Rd joins Hume",10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,"20201218",2020-12-18,1,"cloud"
"NSW Boorowa to Yass","Boorowa Rd joins Hume",10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,"20190129",2019-01-29,1,NA
"NSW Boorowa to Yass","Boorowa Rd joins Hume",10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,"20181201",2018-12-01,1,NA
"NSW Boorowa to Yass","Boorowa Rd joins Hume",10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,"20171030",2017-10-30,1,NA
"NSW Boorowa to Yass","Boorowa Rd joins Hume",10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,"20161008",2016-10-08,2,NA
